Year_Birth,Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts
1957.00,1.00,0.00,58138.00,635.00,88.00,546.00,172.00,88.00
1954.00,1.00,0.00,46344.00,11.00,1.00,6.00,2.00,1.00
1965.00,1.00,1.00,71613.00,426.00,49.00,127.00,111.00,21.00
1984.00,1.00,1.00,26646.00,11.00,4.00,20.00,10.00,3.00
1981.00,3.00,1.00,58293.00,173.00,43.00,118.00,46.00,27.00
1967.00,2.00,1.00,62513.00,520.00,42.00,98.00,0.00,42.00
1971.00,1.00,2.00,55635.00,235.00,65.00,164.00,50.00,49.00
1985.00,3.00,1.00,33454.00,76.00,10.00,56.00,3.00,1.00
1974.00,3.00,1.00,30351.00,14.00,0.00,24.00,3.00,3.00
1950.00,3.00,1.00,5648.00,28.00,0.00,6.00,1.00,1.00
1983.00,1.00,1.00,0.00,5.00,5.00,6.00,0.00,2.00
1976.00,0.00,1.00,7500.00,6.00,16.00,11.00,11.00,1.00
1959.00,1.00,2.00,63033.00,194.00,61.00,480.00,225.00,112.00
1952.00,2.00,2.00,59354.00,233.00,2.00,53.00,3.00,5.00
1987.00,1.00,1.00,17323.00,3.00,14.00,17.00,6.00,1.00
1946.00,3.00,0.00,82800.00,1006.00,22.00,115.00,59.00,68.00
1980.00,1.00,1.00,41850.00,53.00,5.00,19.00,2.00,13.00
1946.00,1.00,1.00,37760.00,84.00,5.00,38.00,150.00,12.00
1949.00,2.00,1.00,76995.00,1012.00,80.00,498.00,0.00,16.00
1985.00,2.00,0.00,33812.00,4.00,17.00,19.00,30.00,24.00
1982.00,1.00,1.00,37040.00,86.00,2.00,73.00,69.00,38.00
1979.00,1.00,1.00,2447.00,1.00,1.00,1725.00,1.00,1.00
1949.00,3.00,1.00,58607.00,867.00,0.00,86.00,0.00,0.00
1954.00,3.00,1.00,65324.00,384.00,0.00,102.00,21.00,32.00
1951.00,1.00,1.00,40689.00,270.00,3.00,27.00,39.00,6.00
1969.00,1.00,0.00,18589.00,6.00,4.00,25.00,15.00,12.00
